January
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
DME SALES,7172,0.04203714883565538
VITAMINS/SUPPLEMENTS,4938,0.028943034153718107
GENERICQS1ITEM,2689,0.015761000169977318
CARDS,2381,0.013955723839611748
DME,1977,0.011587763977703665
NATURAL ICE 24 PACK,1841,0.010790628974685102
STAMPS,1664,0.009753181213403591
STOMACH,1563,0.009161191247926569
MIDWEST FASTENER,1459,0.008551617422088846
LOTTO,1411,0.008270275656317588
 
February
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
GENERICQS1ITEM,9658,0.049252391734491974
DME SALES,7192,0.03667666197499133
VITAMINS/SUPPLEMENTS,6030,0.030750872039654854
DME,2411,0.012295249168757521
CARDS,2042,0.010413479387226404
NATURAL ICE 24 PACK,1983,0.010112600208065602
CANDY OPEN DEPARTMENT,1772,0.009036574669032902
STAMPS,1668,0.008506211370173183
CIGARETTES,1538,0.007843257246598536
CANDY & BEVERAGE,1486,0.007578075597168676
 
March
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
GENERICQS1ITEM,8785,0.04124006553344506
DME SALES,6899,0.03238647832842771
VITAMINS/SUPPLEMENTS,6032,0.02831645706291868
CANDY OPEN DEPARTMENT,2922,0.01371695748306505
DME,2701,0.012679501082052944
CARDS,2325,0.010914416888475784
NATURAL ICE 24 PACK,2135,0.010022486045976688
MIDWEST FASTENER,1970,0.009247914524859051
STAMPS,1756,0.008243318733833754
FRAME,1666,0.007820825176860497
 
April
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
DME SALES,3278,0.01927045060403868
CANDY OPEN DEPARTMENT,2884,0.0169542341494959
CARDS,2162,0.01270979689015608
DME,2136,0.012556950119044119
MIDWEST FASTENER,2076,0.012204226801093442
NATURAL ICE 24 PACK,1942,0.011416478057670262
CANDY & BEVERAGE,1737,0.010211340054672115
STAMPS,1629,0.009576438082360895
CIGARETTES,1076,0.006325504835248817
MONEY ORDER,997,0.0058610857999470915
 
May
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
DME SALES,3876,0.020896455797203024
CANDY OPEN DEPARTMENT,3250,0.017521538013650625
DME,2369,0.012771853401334871
MIDWEST FASTENER,2320,0.012507682520513678
CARDS,2258,0.012173425487637881
NATURAL ICE 24 PACK,2009,0.010831006113668957
STAMPS,1884,0.010157100805451624
CIGARETTES,1633,0.008803898946551222
CANDY & BEVERAGE,1551,0.008361817064360653
FRAME,1126,0.006070539016421725
 
June
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
DME SALES,4166,0.021184630718223053
CANDY OPEN DEPARTMENT,3318,0.01687244472469133
DME,2986,0.015184183227223725
MIDWEST FASTENER,2164,0.011004210483493685
CARDS,2155,0.010958444358562334
NATURAL ICE 24 PACK,2147,0.010917763358623355
CIGARETTES,1806,0.009183735736224396
STAMPS,1649,0.008385371112421944
CANDY & BEVERAGE,1424,0.007241217989138173
FRAME,961,0.0048868051176697925
 
July
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
CARDS,3544,0.019150131846280206
DME SALES,3219,0.017393982622227987
AUTUMN 2PC CANDLE/LAMP,2482,0.013411576535684953
MIDWEST FASTENER,2382,0.012871222928284269
DME,2216,0.011974235939999136
NATURAL ICE 24 PACK,1941,0.010488263519647257
STAMPS,1900,0.010266718540612977
MEHRON,1610,0.008699693079150996
FRAME,1264,0.006830069597544633
CANDY & BEVERAGE,1140,0.006160031124367786
 
August
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
DME SALES,3702,0.020927787262428346
AUTUMN 2PC CANDLE/LAMP,2707,0.015302949789139259
CARDS,2539,0.014353228487116579
MIDWEST FASTENER,2281,0.012894727916153176
DME,2196,0.012414214162153606
NATURAL ICE 24 PACK,2117,0.011967619026083417
STAMPS,1871,0.010576955690978778
FRAME,1143,0.006461496715547164
CANDY & BEVERAGE,1018,0.005754858842018384
CARDS,962,0.00543828507467749
 
September
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
DME SALES,8185,0.04780427405836969
VITAMINS/SUPPLEMENTS,7805,0.045584894199825955
CARDS,4504,0.026305491797055235
DME,2557,0.014934090258674563
STAMPS,2344,0.01369006944322768
MIDWEST FASTENER,2321,0.013555738557052664
NATURAL ICE 24 PACK,2152,0.012568698567331896
FRAME,1743,0.010179944982741402
LOTTO,1290,0.007534210572424789
MONEY ORDER,1099,0.006418680169840964
 
October
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
DME SALES,4678,0.02539672198787168
CARDS,3271,0.01775816109925786
VITAMINS/SUPPLEMENTS,2315,0.012568065712253728
NATURAL ICE 24 PACK,2260,0.012269472358398889
AUTUMN 2PC CANDLE/LAMP,2004,0.010879656020456359
DME,1966,0.010673355157793015
STAMPS,1929,0.01047248326519976
MIDWEST FASTENER,1892,0.010271611372606503
FRAME,1262,0.006851360228451061
CANDY & BEVERAGE,1168,0.006341037041862788
 
November
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
VITAMINS/SUPPLEMENTS,10005,0.05921940478727182
DME SALES,8105,0.047973340909629
STAMPS,4161,0.024628879892037787
CARDS,3095,0.01831924615858134
DME,2327,0.013773468759618344
MIDWEST FASTENER,2154,0.012749485048654023
NATURAL ICE 24 PACK,1851,0.010956033809219405
LOTTO,1299,0.007688756303714753
FRAME,1120,0.006629258706821034
CIGARETTES,1013,0.005995927741080096
 
December
Product_Name,Total_Num_Sales,Percent_of_Months_Sales
VITAMINS/SUPPLEMENTS,11572,0.05054466992216505
DME SALES,10716,0.046805797000165975
STAMPS,8491,0.037087348108287545
CARDS,5248,0.022922435858237313
LOTTO,5079,0.02218427052667441
DME,4137,0.01806976317559599
INST LOTTERY HOLIDAY CHEER $1,3230,0.014108130301468468
MIDWEST FASTENER,2056,0.008980283560315532
NATURAL ICE 24 PACK,1883,0.008224646859958244
FRAME,1786,0.00780096616669433
 
